tournament,bracket,team1name,team2name,team1wins,team2wins,time
BBrawl4,KO,Hip Hop Dads & Fishin’,Crisis Mode,3,0,2019-09-07T17:55:36-0400
BBrawl4,KO,xtra guac,You Best Not Miss,1,3,2019-09-07T17:55:36-0400
BBrawl4,KO,Some Side Cab Scrubs,Maria & the Boys,3,1,2019-09-07T18:35:13-0400
BBrawl4,KO,Hamsterdam,The BB4 After Party Is At Todd's House,3,0,2019-09-07T18:57:54-0400
BBrawl4,KO,🦀CLAWXIC🦀,Hip Hop Dads & Fishin’,3,2,2019-09-07T18:52:44-0400
BBrawl4,KO,Mr. Buth's Wilder Ride,You Best Not Miss,3,2,2019-09-07T19:21:43-0400
BBrawl4,KO,Some Side Cab Scrubs,Hamsterdam,1,3,2019-09-07T19:30:18-0400
BBrawl4,KO,🦀CLAWXIC🦀,Mr. Buth's Wilder Ride,3,0,2019-09-07T19:48:29-0400
BBrawl4,KO,Hamsterdam,🦀CLAWXIC🦀,2,3,2019-09-07T20:45:56-0400
BBrawl4,KO,You Best Not Miss,Bad Boys 4,3,0,2019-09-07T19:48:29-0400
BBrawl4,KO,Hip Hop Dads & Fishin’,The Fire Nation,3,0,2019-09-07T19:43:04-0400
BBrawl4,KO,The BB4 After Party Is At Todd's House,Crisis Mode,0,3,2019-09-07T19:30:18-0400
BBrawl4,KO,Maria & the Boys,xtra guac,0,3,2019-09-07T19:21:43-0400
BBrawl4,KO,You Best Not Miss,Hip Hop Dads & Fishin’,0,3,2019-09-07T20:09:55-0400
BBrawl4,KO,Crisis Mode,xtra guac,1,3,2019-09-07T20:00:26-0400
BBrawl4,KO,Some Side Cab Scrubs,Hip Hop Dads & Fishin’,3,2,2019-09-07T20:33:11-0400
BBrawl4,KO,Mr. Buth's Wilder Ride,xtra guac,2,3,2019-09-07T20:45:56-0400
BBrawl4,KO,Some Side Cab Scrubs,xtra guac,3,1,2019-09-07T21:10:56-0400
BBrawl4,KO,Hamsterdam,Some Side Cab Scrubs,2,3,2019-09-07T21:55:46-0400
BBrawl4,KO,🦀CLAWXIC🦀,Some Side Cab Scrubs,0,4,2019-09-07T22:31:25-0400
BBrawl4,KO,Some Side Cab Scrubs,🦀CLAWXIC🦀,4,0,2019-09-07T22:58:17-0400
BBrawl4,WC,The Fire Nation,BHGBees,1,0,2019-09-07T16:10:14-0400
BBrawl4,WC,Boo Bees,Sting Operation,0,1,2019-09-07T16:10:14-0400
BBrawl4,WC,Queen's Tribe,Too Spicy,1,0,2019-09-07T16:10:14-0400
BBrawl4,WC,You Best Not Miss,This Gate Was Made For Me,1,0,2019-09-07T16:32:33-0400
BBrawl4,WC,The Fire Nation,Sting Operation,1,0,2019-09-07T16:25:48-0400
BBrawl4,WC,Queen's Tribe,You Best Not Miss,0,1,2019-09-07T16:32:33-0400
BBrawl4,Group1,Some Side Cab Scrubs,Maria & the Boys,3,0,2019-09-06T11:34:04-0500
BBrawl4,Group1,Hip Hop Dads & Fishin’,You Best Not Miss,3,0,2019-09-06T11:34:04-0500
BBrawl4,Group1,The Fire Nation,Too Spicy,3,0,2019-09-06T11:34:04-0500
BBrawl4,Group1,Mr. Buth's Wilder Ride,The BB4 After Party Is At Todd's House,2,1,2019-09-06T11:34:04-0500
BBrawl4,Group1,You Best Not Miss,Sting Operation,3,0,2019-09-07T12:07:07-0500
BBrawl4,Group1,Maria & the Boys,Too Spicy,2,1,2019-09-07T12:07:07-0500
BBrawl4,Group1,The Fire Nation,Mr. Buth's Wilder Ride,2,1,2019-09-07T12:07:07-0500
BBrawl4,Group1,Some Side Cab Scrubs,Hip Hop Dads & Fishin’,3,0,2019-09-07T12:07:07-0500
BBrawl4,Group1,Hip Hop Dads & Fishin’,Mr. Buth's Wilder Ride,0,3,2019-09-07T12:55:09-0500
BBrawl4,Group1,Maria & the Boys,You Best Not Miss,2,1,2019-09-07T12:55:09-0500
BBrawl4,Group1,Sting Operation,The BB4 After Party Is At Todd's House,0,3,2019-09-07T12:55:09-0500
BBrawl4,Group1,Some Side Cab Scrubs,The Fire Nation,3,0,2019-09-07T12:55:09-0500
BBrawl4,Group1,You Best Not Miss,The BB4 After Party Is At Todd's House,2,1,2019-09-07T13:40:21-0500
BBrawl4,Group1,The Fire Nation,Maria & the Boys,0,3,2019-09-07T13:40:21-0500
BBrawl4,Group1,Sting Operation,Too Spicy,2,1,2019-09-07T13:40:21-0500
