Tournament,Bracket,Team 1,Team 2,Team 1 wins,Team 2 wins,Time
KQC3,KO,Bonus Nap,PUERTO RICO,3,1,2019-02-24T12:32:00-05:00
KQC3,KO,Princes Among Boys,fridge genie,3,1,2019-02-24T12:33:00-05:00
KQC3,KO,Only Kinda Safe,Eyes on the Hives,3,2,2019-02-24T12:34:00-05:00
KQC3,KO,Keep Yourself Alive,MATH,3,0,2019-02-24T12:35:00-05:00
KQC3,KO,Fyre Fest 2,Queen's Revenge,3,1,2019-02-24T12:36:00-05:00
GDC4,Group 1,Bay Area Rapid Tappers,Latter Day Snails,3,0,2019-03-23T12:00:00-05:00
GDC4,Group 1,Bonus Soulless,Pokemon NO,3,0,2019-03-23T12:01:00-05:00
GDC4,Group 1,Be Bestest,Crossfaded and Scared in Troutdale,3,0,2019-03-23T12:02:00-05:00
GDC4,Group 1,Tylbaes,Inherent Vice,3,0,2019-03-23T12:03:00-05:00
GDC4,Group 1,Pokemon NO,Crossfaded and Scared in Troutdale,3,0,2019-03-23T12:04:00-05:00
GDC4,Group 1,Be Bestest,Inherent Vice,3,0,2019-03-23T12:05:00-05:00
GDC4,Group 1,Bonus Soulless,Tylbaes,3,0,2019-03-23T12:06:00-05:00
GDC4,Group 1,Peach LLC,Latter Day Snails,3,0,2019-03-23T12:07:00-05:00
GDC4,Group 1,Latter Day Snails,Crossfaded and Scared in Troutdale,2,1,2019-03-23T12:08:00-05:00
GDC4,Group 1,Peach LLC,Inherent Vice,3,0,2019-03-23T12:09:00-05:00
GDC4,Group 1,Bonus Soulless,Be Bestest,2,1,2019-03-23T12:10:00-05:00
GDC4,Group 1,Tylbaes,Bay Area Rapid Tappers,2,1,2019-03-23T12:11:00-05:00
GDC4,Group 1,Be Bestest,Pokemon NO,3,0,2019-03-23T12:12:00-05:00
GDC4,Group 1,Bay Area Rapid Tappers,Crossfaded and Scared in Troutdale,3,0,2019-03-23T12:13:00-05:00
GDC4,Group 1,Peach LLC,Tylbaes,2,1,2019-03-23T12:14:00-05:00
GDC4,Group 1,Inherent Vice,Latter Day Snails,3,0,2019-03-23T12:15:00-05:00
GDC4,Group 1,Peach LLC,Bay Area Rapid Tappers,3,0,2019-03-23T12:16:00-05:00
GDC4,Group 1,Be Bestest,Tylbaes,2,1,2019-03-23T12:17:00-05:00
GDC4,Group 1,Bonus Soulless,Latter Day Snails,2,1,2019-03-23T12:18:00-05:00
GDC4,Group 1,Pokemon NO,Inherent Vice,3,0,2019-03-23T12:19:00-05:00
GDC4,Group 1,Be Bestest,Bay Area Rapid Tappers,2,1,2019-03-23T12:20:00-05:00
GDC4,Group 1,Peach LLC,Bonus Soulless,2,1,2019-03-23T12:21:00-05:00
GDC4,Group 1,Tylbaes,Pokemon NO,2,1,2019-03-23T12:22:00-05:00
GDC4,Group 1,Inherent Vice,Crossfaded and Scared in Troutdale,3,0,2019-03-23T12:23:00-05:00
GDC4,Group 1,Bay Area Rapid Tappers,Bonus Soulless,3,0,2019-03-23T12:24:00-05:00
GDC4,Group 1,Be Bestest,Peach LLC,2,1,2019-03-23T12:25:00-05:00
GDC4,Group 1,Pokemon NO,Latter Day Snails,3,0,2019-03-23T12:26:00-05:00
GDC4,Group 1,Tylbaes,Crossfaded and Scared in Troutdale,2,1,2019-03-23T12:27:00-05:00
GDC4,Group 2,Surprise!,Elon Dusk,3,0,2019-03-23T12:28:00-05:00
GDC4,Group 2,Dope Shit Only,Tony's 2D Jelly,3,0,2019-03-23T12:29:00-05:00
GDC4,Group 2,The Bees With Two Backs,Nick@Nite Map,3,0,2019-03-23T12:30:00-05:00
GDC4,Group 2,Good Luck,Honeyweight Champions,3,0,2019-03-23T12:31:00-05:00
GDC4,Group 2,The Bees With Two Backs,Surprise!,2,1,2019-03-23T12:32:00-05:00
GDC4,Group 2,Nick@Nite Map,Tony's 2D Jelly,3,0,2019-03-23T12:33:00-05:00
GDC4,Group 2,Dope Shit Only,Good Luck,2,1,2019-03-23T12:34:00-05:00
GDC4,Group 2,Elon Dusk,Honeyweight Champions,3,0,2019-03-23T12:35:00-05:00
GDC4,Group 2,Surprise!,Tony's 2D Jelly,3,0,2019-03-23T12:36:00-05:00
GDC4,Group 2,Elon Dusk,Good Luck,2,1,2019-03-23T12:37:00-05:00
GDC4,Group 2,The Bees With Two Backs,Honeyweight Champions,3,0,2019-03-23T12:38:00-05:00
GDC4,Group 2,Dope Shit Only,Nick@Nite Map,2,1,2019-03-23T12:39:00-05:00
GDC4,Group 2,Surprise!,Honeyweight Champions,3,0,2019-03-23T12:40:00-05:00
GDC4,Group 2,Dope Shit Only,Elon Dusk,3,0,2019-03-23T12:41:00-05:00
GDC4,Group 2,Good Luck,Nick@Nite Map,3,0,2019-03-23T12:42:00-05:00
GDC4,Group 2,The Bees With Two Backs,Tony's 2D Jelly,3,0,2019-03-23T12:43:00-05:00
GDC4,Group 2,Elon Dusk,Nick@Nite Map,3,0,2019-03-23T12:44:00-05:00
GDC4,Group 2,Surprise!,Good Luck,2,1,2019-03-23T12:45:00-05:00
GDC4,Group 2,Tony's 2D Jelly,Honeyweight Champions,3,0,2019-03-23T12:46:00-05:00
GDC4,Group 2,The Bees With Two Backs,Dope Shit Only,2,1,2019-03-23T12:47:00-05:00
GDC4,Group 2,Good Luck,The Bees With Two Backs,2,1,2019-03-23T12:48:00-05:00
GDC4,Group 2,Surprise!,Dope Shit Only,2,1,2019-03-23T12:49:00-05:00
GDC4,Group 2,Elon Dusk,Tony's 2D Jelly,3,0,2019-03-23T12:50:00-05:00
